id,trigger,conditions,script,text,options,notes
#Nexerelin menu options,,,,,,
ExerelinNGCListFringeDefenceSyndicate,ExerelinNGCListFactions2,,,,exerelinNGCJoinFringeDefenceSyndicate:Fringe Defence Syndicate,
ExerelinNGCJoinFringeDefenceSyndicate,NewGameOptionSelected,$option == exerelinNGCJoinFringeDefenceSyndicate,"$playerFaction = fringe_defence_syndicate
FireBest ExerelinNGCJoinFaction",,,
ExerelinFactionDirectoryListFringeDefenceSyndicate,ExerelinFactionDirectoryList2,$directoryFactions:fringe_defence_syndicate,,,exerelinFactionDirectoryGetFringeDefenceSyndicate:Fringe Defence Syndicate,
ExerelinFactionDirectoryGetFringeDefenceSyndicate,DialogOptionSelected,$option == exerelinFactionDirectoryGetFringeDefenceSyndicate,"$_directoryFaction = fringe_defence_syndicate 0
FireBest ExerelinFactionDirectorySubmit",,,
,,,,,,
##############################################,#############################,####################################################,##########################################################################,,,
,,,,,,
## Comms Options,,,,,,
# Fringe Defence Syndicate,,,,,,
greetingFriendlyFringeDefenceSyndicate,OpenCommLink,"$faction.id == fringe_defence_syndicate
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","Communication established.

""Greetings, commander. What business do you want with the Syndicate today?""
OR
The Syndicate $personRank salutes you in a very strict but welcoming fashion.

""Commander, good to see you! The Syndicate welcomes you and hopes your journey has gone unscathed.""
OR
The Syndicate $personRank greets you with a warm welcome.

""Commander, glad to see you well! On behalf of the Syndicate I wish you a continuine good luck on your endeavours.""",,
greetingHostileWeakerFringeDefenceSyndicate,OpenCommLink,"$faction.id == fringe_defence_syndicate
$entity.isHostile
$entity.relativeStrength < 0",$ignorePlayerCommRequests = true 1,"After a silent period of nothing but static the Syndicate $personRank finally appears.

""Commander, what an unexpected visit... I advise you to stand down and nobody will get hurt.""",cutCommLink:Cut the comm link,
greetingHostileWeakerDefiantFringeDefenceSyndicate,OpenCommLink,"$faction.id == fringe_defence_syndicate
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"An angry $personRank appears on screen...

""Commander, let me warn you a battle between us will end in nothing but death on both sides, but if you choose to do so the Syndicate will NOT surrender!""

The comm is abruptly cut as the $heOrShe strikes the terminal.
OR
A very confident $personRank appears on screen...

""Captain, I hope you do not greet us with a white flag, we still have quite a few salvaged from the last fleet that attempted to destroy us.""",cutCommLink:Cut the comm link,
greetingHostileStrongerFringeDefenceSyndicate,OpenCommLink,"$faction.id == fringe_defence_syndicate
$entity.isHostile
$entity.relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"The Syndicate's crest appears on screen moments before a very imposing $personRank calmly starts to speak.

""You are an enemy of the $faction, surrender now or prepare to face a swift death.""
OR
A very confident and aggressive $personRank appears on screen...

""You stand no chance against the full power of the Syndicate. You have no choice but to surrender if you wish to be spared from certain doom!!""

The $personRank glares at you one last time before quickly turning his back to the console while shouting battle commands to the crew of the $shipOrFleet.
OR
The Syndicate's crest appears on the comm-line and a strong voice is heard.

""This is $personName, $personRank of the $faction. I will give you one chance to surrender before we open fire on your $shipOrFleet!""
OR
The $personRank proptly appears on the comms console...

""Make it quick, our weapons are getting cold""
OR
After a lengthly delay, the $personRank finally appears answers the comm request...

""I'm terribly sorry Commander, I was laughing with my crew while looking at your fleet... I do hope you enjoy your last moments alive!""",cutCommLink:Cut the comm link,
greetingNeutralFringeDefenceSyndicate,OpenCommLink,"$faction.id == fringe_defence_syndicate
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","Communication established.

""The Syndicate greets you. Tread carefully as the $faction does not take aggression lightly!""
OR
A $personRank appears in a hurry...

""State your business with the Syndicate at once, we have no time to deal with this kind of nuisances...""",,
,,,,,,
flavorTextMarketFringeDefenceSyndicate,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == fringe_defence_syndicate","AddText ""As the ships approach the market area multiple escort frigates immediately engage each ship scanning for any threats or unwanted goods. The sky is filled with ships coming from all sides of the sector, dwarfing even some of the most imposing military fleets."" marketFlavorTextColor
AddText ""Upon landing, multiple Syndicate banners are visible in each dock, with each hangar being heavily guarded my armed soldiers, almost as if the entire army was guarding the market."" marketFlavorTextColor",,,
flavorTextMarketSmallFringeDefenceSyndicate,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == fringe_defence_syndicate
$market.size < 4","AddText ""A small stream of ships roam around the docks breaking the otherwise calm and peaceful environment. Small contingents of military forces guard the docks, easily scanning every ship coming in and out of each hangar, with each soldier bearing the Syndicate's insinia in their shoulders."" marketFlavorTextColor",,,
flavorTextMarketCoruscant,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == fringe_defence_syndicate
$market.id == CoruscantPlanet","AddText ""A true megalopolis, traders fill both the streets and the skies, with as many clients passing by as the entire population of some planets."" marketFlavorTextColor
AddText ""In the distance, several large buildings cutting through the sky can be spotted, marking the center of the diplomatic district, the core and capital of all of the Fringe Worlds owned by the Syndicate. Banners as large as the whole buildings can be seen covering most of the largest structures, with entire military fleets patrolling the skies."" marketFlavorTextColor",,,
,,,,,,
