id,type,text1,text2,text3,notes
fds_decimator,WEAPON,"The Decimator Cannon uses a considerable amount of energy to fire a large shell at very high speeds, making sure the enemy's armour gets destroyed as quickly as possible.",Assault,,
fds_dual_autoblaster_cannon,WEAPON,"The Dual Autoblaster Cannon is a weapon that possesses two large blaster cannons capable of firing projectiles with more than twice the damage of most other options, making it one of the finest large weapons that can be mounted into a capital ship.",Assault,,
fds_quad_blaster_battery,WEAPON,"The Quadruple Blaster Battery provides a curtain of fire in the direction it is firing, thanks to the quad blasters that fire in quick succession. It generates an enormous amount of flux when firing continuously, which can quickly deplete the capacity of smaller ships that end up mounting this.",Assault,,
fds_heavy_autoblaster_battery,WEAPON,A triple barreled cannon that fires a quick burst of High Explosive shots. Usually paired with the Heavy Autoblaster Cannon or the Ion Battery to provide the ship with a mixed damage source that can punish enemy ships for having their shields both raised and lowered.,Assault,,
fds_heavy_autoblaster_cannon,WEAPON,"Being the main choice of the Fringe Defence Syndicate when it comes to medium energy weapons, the range and fire rate of this weapon is great for rookies and veteran captains alike, with the ships being able to provide sustained fire on the target.",Assault,,
fds_light_autoblaster_cannon,WEAPON,"A single cannon taken from the Heavy Autoblaster Cannon, allowing ships that lack medium mounts to experience some of the power its bigger brother can provide.",Assault,,
fds_light_pd_blaster,WEAPON,"This short range blaster has a stupendous rate of fire making it easy to shoot at an incoming missile or fighter. However, this increased rate of fire comes with a decreased damage per shot, requiring some amount of shots to hit their target before any visible effect occurs.",Point Defense,,
fds_light_blaster,WEAPON,"This short range blaster has a stupendous rate of fire making it easy to shoot at an incoming missile or fighter. However, this increased rate of fire comes with a decreased damage per shot, requiring some amount of shots to hit their target before any visible effect occurs.",Point Defense,,
fds_ion_battery,WEAPON,"An average sized energy cannon that fires a short burst of Ion beams emanating electro-magnetic energy, quickly disabling enemy systems and/or engines.",Special,,
fds_Alliance_turbo_L,WEAPON,"What may seem like a harmless weapon turns out to be a very capable hull-mounted energy-based cannon, making the Loyalty one of the best equipped and combat capable combat freighters available in the market.",Special,,
fds_Alliance_turbo_P,WEAPON,"What may seem like a harmless weapon turns out to be a very capable hull-mounted energy-based cannon, making the Loyalty one of the best equipped and combat capable combat freighters available in the market.",Special,,
fds_heavy_beam,WEAPON,"In an attempt to improve the Graviton Beam, bigger emitters were installed with refined lenses, resulting in a beam that is about twice as powerful with a slight reduction in range due to bigger energy losses and dispersion.",Close Support,,
fds_pd_laser_mk_ii,WEAPON,"The first experiment made by the Syndicate's engineers trying to upgrade the Point Defence Laser, by sacrificing some range for increased power.",Point Defense,,
fds_pd_laser_mk_iii,WEAPON,"Continuing their work from the PD Laser Mk. II, this laser further decreases its range in exchange for increased power, making it capable of destroying some of the most resilient missiles single-handedly.",Point Defense,,
fds_remnant_dagger,WEAPON,"A weapon engineered using alien technology mixed with the beam emitters of the Council Spear resulting in a beam weapon that also deals EMP damage, making this a very dangerous weapon in the right hands.

Similar to Council Spear, this fires a short burst of energy instead of a continuous stream, meaning some care should be taken when aiming such weapons.",Close Support,,
fds_council_spear,WEAPON,"This high power long range beam deal massive damage in a short burst, providing a quick way to melt the enemy's shield, armor or hull, whichever comes first.

It is a very versatile weapon since it damaged all defence types equally, and due to its burst damage makes it suitable to finish off unshielded or nearly overloaded enemies.",Strike,,
fds_fighter_rocket,WEAPON,"Inspired by the launchers of other rocket based bombers, this launcher delivers a large amount of rockets in the general direction it is pointing at. Each individual rocket does not carry enough explosives to be considered a threat by itself, but the sheer volume of fire is enough to at least scare away any rookie captain.",,,
fds_ion_missile_single,WEAPON,"The warhead of this missile is composed of several high-density high conductivity materials that disrupt both shield generators and electronic systems alike, easily disabling key components on an enemy ship.",,,
fds_hydra_single,WEAPON,"These slow guided torpedoes are not as powerful and the regular torpedoes due to the space the guidance system takes, but it's still powerful enough to severely damage an enemy ship, should one of these hit its target.",Fire Support,,
fds_hydra_2x_rack,WEAPON,"These slow guided torpedoes are not as powerful and the regular torpedoes due to the space the guidance system takes, but it's still powerful enough to severely damage an enemy ship, should one of these hit its target.",Fire Support,,
fds_hydra_3x_rack,WEAPON,"These slow guided torpedoes are not as powerful and the regular torpedoes due to the space the guidance system takes, but it's still powerful enough to severely damage an enemy ship, should one of these hit its target.",Fire Support,,
fds_hydra_2x_pod,WEAPON,"These slow guided torpedoes are not as powerful and the regular torpedoes due to the space the guidance system takes, but it's still powerful enough to severely damage an enemy ship, should one of these hit its target.",Fire Support,,
fds_tali_mrm,WEAPON,A medium range missile launcher that fires a barrage of 4 missiles filled with explosives. They are deadly in numbers and should not be underestimated.,Fire Support,,
fds_tali_mrm_single,WEAPON,A medium range missile launcher that fires a barrage of 4 missiles filled with explosives. They are deadly in numbers and should not be underestimated.,Fire Support,,
fds_torture_forward_cannons,WEAPON,While developing new weapons someone in the research division asked a simple question: What if we strapped three Hellbore cannons to the front of a ship? The result was this massive cannon barrage mounted at the tip of the Torture-class Dreadnought.,Assault,,
fds_kane,WEAPON,"A strange weapon that fires three dispersed projectiles in a single shot, making it somewhat lose its power over long ranges, but deadly when up close to the enemy, as each individual projectile deals an amount of damage that can't be ignored.",Assault,,
fds_chaingun_L,WEAPON,"FDS engineers saw chainguns as weapons with a lot of potential, so they did some experimenting with the design and tried different ammunition types in the process, including some old tungsten based shells. In order to test this specific variant they mounted one under each wing of the Grief Mk.II-class Frigate, and remained there to this day.",Assault,,
fds_chaingun_P,WEAPON,"FDS engineers saw chainguns as weapons with a lot of potential, so they did some experimenting with the design and tried different ammunition types in the process, including some old tungsten based shells. In order to test this specific variant they mounted one under each wing of the Grief Mk.II-class Frigate, and remained there to this day.",Assault,,
,,,,,
fds_light_blaster_double,WEAPON,,Assault,,
fds_defender_blaster_L,WEAPON,,Assault,,
fds_defender_blaster_P,WEAPON,,Assault,,
fds_defender_I_blaster,WEAPON,,Assault,,
fds_disturbance_blaster_L,WEAPON,,Assault,,
fds_disturbance_blaster_P,WEAPON,,Assault,,
fds_vindicator_srm,WEAPON,,Anti-Fighter,,
fds_reaper,WEAPON,,Strike,,
,,,,,
fds_missile_barrage,WEAPON,"A missile launcher that fires a 10 missile barrage, useful for both overloading point defence systems and cause decent damage to unshielded targets.",Special,,
fds_pd_barrage,WEAPON,"A missile launcher that fires a 5 PD missile barrage, acting as another layer of defence against incoming missiles and further cluttering space with missiles.",Special,,
,,,,,
fds_tractor_beam,WEAPON,,Close Support,,
,,,,,
,,,,,
,,,,,
fds_penitence,SHIP,A basic fighter launched in large numbers with each fighter being equipped with two light blasters.,,,
fds_oppression,SHIP,"A fighter equipped with two light blasters, two small anti-fighter missiles and decent armor, making this a hard fighter to defeat in a dogfight.",,,
fds_distress,SHIP,"This fast interceptor has incredible manoeuvrability, speed and acceleration, making it capable of catching up with most enemy fighters as fast as possible.",,,
fds_disgrace,SHIP,"Quite similar to the Distress Interceptor, the Disgrace is instead a bomber equipped with an anti-ship missile and two light blasters, making this a well equipped bomber.",,,
fds_guilt,SHIP,"A durable and powerful fighter, thanks to the Ion cannons installed on both wings besides the light blasters installed at the front of the fighter, giving this wing an incredible supporting capability both to other wings and to the ships it may be escorting.",,,
fds_remorse,SHIP,"A Heavy Bomber based on the Guilt, trading both ion cannons by missile launchers. Each wing fires a barrage of Tali missiles giving the enemy a bad time if their shields are down.",,,
